job	n_samples	support_size	beta	treatment_effect	eta_noise_dist	sigma_outcome	n_exp_kept	n_methods	ica_excess_kurtosis	OML.rmse	OML.bias	OML.std	OML.nan	HOML.rmse	HOML.bias	HOML.std	HOML.nan	OML-Est.rmse	OML-Est.bias	OML-Est.std	OML-Est.nan	OML-Split.rmse	OML-Split.bias	OML-Split.std	OML-Split.nan	ICA.rmse	ICA.bias	ICA.std	ICA.nan	OLS.rmse	OLS.bias	OLS.std	OLS.nan	matching.rmse	matching.bias	matching.std	matching.nan
job_0000	200	10	4	1	discrete	1.73205	10	7	5.05	0.225653	-0.215382	0.0673044	0	0.140226	-0.116244	0.0784259	0	0.129401	-0.0806424	0.1012	0	0.130369	-0.0479434	0.121233	0	8.76882	2.74108	8.32939	0	0.0614427	0.0036867	0.061332	0	0.232541	0.108385	0.205738	0
job_0001	500	10	4	1	discrete	1.73205	10	7	5.05	0.131615	-0.128034	0.0304903	0	0.0430669	-0.00288461	0.0429702	0	0.0638008	0.0160931	0.0617378	0	0.0595214	0.0250523	0.0539924	0	0.339076	0.0975809	0.324732	0	0.0400249	-0.0211609	0.0339736	0	0.131111	-0.0130304	0.130462	0
job_0002	1000	10	4	1	discrete	1.73205	10	7	5.05	0.0677357	-0.0567693	0.0369511	0	0.0680298	-0.0202616	0.0649425	0	0.0697296	-0.0149174	0.0681152	0	0.0716932	-0.0143695	0.0702384	0	0.235181	-0.0956867	0.214835	0	0.0326275	-0.000175494	0.032627	0	0.0895634	0.0543175	0.0712125	0
job_0003	2000	10	4	1	discrete	1.73205	10	7	5.05	0.0358416	-0.0270035	0.0235675	0	0.0367339	0.0099033	0.0353738	0	0.0364934	0.0115062	0.034632	0	0.0375996	0.0114839	0.035803	0	0.157733	-0.0434586	0.151628	0	0.027939	0.00669053	0.027126	0	0.0577957	0.00164466	0.0577723	0
