job	dataset	n_samples	n_covariates	support_size	nuisance	nonlinear	heavy_tail_eta	eta_beta	eps_beta	bootstrap	hetero_eps	treatment_effect	n_exp_kept	n_attempted	Ortho ML.rmse	Ortho ML.bias	Ortho ML.std	Ortho ML.finite	Robust Ortho ML.rmse	Robust Ortho ML.bias	Robust Ortho ML.std	Robust Ortho ML.finite	Robust Ortho Est.rmse	Robust Ortho Est.bias	Robust Ortho Est.std	Robust Ortho Est.finite	Robust Ortho Split.rmse	Robust Ortho Split.bias	Robust Ortho Split.std	Robust Ortho Split.finite	ICA.rmse	ICA.bias	ICA.std	ICA.finite	OLS.rmse	OLS.bias	OLS.std	OLS.finite	Matching.rmse	Matching.bias	Matching.std	Matching.finite
job_0000	housing	500	5	5	multi	False	True	1	0.5	False	False	1	12	12	0.0686111	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.0282913	nan	nan	12	0.0430525	nan	nan	12	nan	nan	nan	12
job_0001	housing	500	5	5	multi	True	True	1	0.5	False	False	1	12	12	0.301501	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.202226	nan	nan	12	0.207404	nan	nan	12	nan	nan	nan	12
job_0002	housing	10000	5	5	multi	False	True	1	0.5	False	False	1	12	12	0.0193449	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.00590212	nan	nan	12	0.00945143	nan	nan	12	nan	nan	nan	12
job_0003	housing	10000	5	5	multi	True	True	1	0.5	False	False	1	12	12	0.181308	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.254089	nan	nan	12	0.195717	nan	nan	12	nan	nan	nan	12
job_0004	housing	500	5	5	multi	False	True	1	2	False	False	1	12	12	0.0820769	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.0713935	nan	nan	12	0.0470107	nan	nan	12	nan	nan	nan	12
job_0005	housing	500	5	5	multi	True	True	1	2	False	False	1	12	12	0.284884	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.220768	nan	nan	12	0.200199	nan	nan	12	nan	nan	nan	12
job_0006	housing	10000	5	5	multi	False	True	1	2	False	False	1	12	12	0.019877	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.0210167	nan	nan	12	0.010479	nan	nan	12	nan	nan	nan	12
job_0007	housing	10000	5	5	multi	True	True	1	2	False	False	1	12	12	0.182246	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	nan	nan	nan	12	0.393379	nan	nan	12	0.194587	nan	nan	12	nan	nan	nan	12
