job	dataset	n_samples	n_covariates	support_size	nuisance	nonlinear	heavy_tail_eta	eta_beta	eps_beta	bootstrap	hetero_eps	treatment_effect	n_exp_kept	n_attempted	Ortho ML.rmse	Ortho ML.bias	Ortho ML.std	Ortho ML.finite	Robust Ortho ML.rmse	Robust Ortho ML.bias	Robust Ortho ML.std	Robust Ortho ML.finite	Robust Ortho Est.rmse	Robust Ortho Est.bias	Robust Ortho Est.std	Robust Ortho Est.finite	Robust Ortho Split.rmse	Robust Ortho Split.bias	Robust Ortho Split.std	Robust Ortho Split.finite	ICA.rmse	ICA.bias	ICA.std	ICA.finite	OLS.rmse	OLS.bias	OLS.std	OLS.finite	Matching.rmse	Matching.bias	Matching.std	Matching.finite
job_0000	housing	2000	8	8	linear	True	True	1	nan	True	False	1	25	25	0.39795	0.248374	0.310926	25	0.520822	0.333694	0.399879	25	0.543129	0.357298	0.409057	25	0.546374	0.359376	0.41155	25	0.591672	0.246592	0.537836	25	0.313536	0.226071	0.217247	25	0.825676	0.399184	0.722768	25
job_0001	housing	2000	8	8	gbm	True	True	1	nan	True	False	1	25	25	0.466168	0.189305	0.426001	25	0.894834	0.466023	0.763905	25	0.883887	0.45083	0.760268	25	0.908131	0.482407	0.769406	25	0.591672	0.246592	0.537836	25	0.313536	0.226071	0.217247	25	0.825676	0.399184	0.722768	25
job_0002	housing	10000	8	8	linear	True	True	1	nan	True	False	1	25	25	0.468582	0.317986	0.344171	25	0.901074	0.484392	0.759801	25	0.928128	0.492553	0.786647	25	0.929934	0.493199	0.788374	25	0.863386	0.452809	0.735119	25	0.417229	0.321038	0.266485	25	0.837602	0.635972	0.545085	25
job_0003	housing	10000	8	8	gbm	True	True	1	nan	True	False	1	25	25	0.506694	0.298728	0.409268	25	1.15145	0.64277	0.955343	25	1.14693	0.638407	0.952831	25	1.15554	0.646045	0.958067	25	0.863386	0.452809	0.735119	25	0.417229	0.321038	0.266485	25	0.837602	0.635972	0.545085	25
job_0004	news20	2000	10	10	linear	True	True	1	nan	True	False	1	25	25	0.0823244	-0.0805731	0.0168904	25	0.0707866	-0.041587	0.0572823	25	0.117064	0.00674583	0.11687	25	0.121227	0.0137616	0.120443	25	0.363723	-0.0251098	0.362855	25	0.0817212	-0.0801432	0.0159819	25	0.0862817	-0.0836001	0.0213434	25
job_0005	news20	2000	10	10	gbm	True	True	1	nan	True	False	1	25	25	0.064899	-0.0595813	0.0257284	25	0.119043	-0.0697848	0.0964431	25	0.0983269	-0.0691253	0.0699275	25	0.150921	-0.0697845	0.133818	25	0.404759	0.0766894	0.397427	25	0.0817212	-0.0801432	0.0159819	25	0.0862817	-0.0836001	0.0213434	25
job_0006	news20	10000	10	10	linear	True	True	1	nan	True	False	1	25	25	0.0836919	-0.0831233	0.00973964	25	0.0692671	-0.0649779	0.0239961	25	0.0648913	-0.0394835	0.0514969	25	0.064703	-0.0387072	0.0518481	25	0.377229	0.153696	0.344499	25	0.083298	-0.082707	0.00990481	25	0.0272176	-0.0243333	0.012194	25
job_0007	news20	10000	10	10	gbm	True	True	1	nan	True	False	1	25	25	0.0230703	-0.020491	0.0105999	25	0.0307186	-0.0111352	0.0286293	25	0.0275337	-0.0126975	0.0244311	25	0.033852	-0.00979515	0.0324039	25	0.377229	0.153696	0.344499	25	0.083298	-0.082707	0.00990481	25	0.0272176	-0.0243333	0.012194	25
