job	done	semisynth_housing_lin_d5_ht0.5_linear_n2000.method_names	semisynth_housing_lin_d5_ht0.5_linear_n2000.estimates	semisynth_housing_lin_d5_ht0.5_linear_n2000.estimates_finite	semisynth_housing_lin_d5_ht0.5_linear_n2000.biases	semisynth_housing_lin_d5_ht0.5_linear_n2000.sigmas	semisynth_housing_lin_d5_ht0.5_linear_n2000.rmse	semisynth_housing_lin_d5_ht0.5_linear_n2000.n_experiments	semisynth_housing_lin_d5_ht0.5_linear_n2000.finite_per_method	semisynth_housing_lin_d5_ht0.5_linear_n2000.n_attempted	semisynth_housing_lin_d5_ht0.5_linear_n2000.treatment_effect	semisynth_housing_lin_d5_ht0.5_linear_n2000.n_samples	semisynth_housing_lin_d5_ht0.5_linear_n2000.n_covariates	semisynth_housing_lin_d5_ht0.5_linear_n2000.support_size	semisynth_housing_lin_d5_ht0.5_linear_n2000.nuisance	semisynth_housing_lin_d5_ht0.5_linear_n2000.nonlinear_confounding	semisynth_housing_lin_d5_ht0.5_linear_n2000.heavy_tail_eta	semisynth_housing_lin_d5_ht0.5_linear_n2000.eta_beta	semisynth_housing_lin_d5_ht0.5_linear_n2000.high_dim	semisynth_housing_lin_d5_ht0.5_linear_n2000.heteroscedastic_eps	semisynth_housing_lin_d5_ht0.5_linear_n2000.sigma_eta	semisynth_housing_lin_d5_ht0.5_linear_n2000.sigma_outcome	semisynth_housing_lin_d5_ht0.5_linear_n2000.dataset	semisynth_housing_lin_d5_ht0.5_linear_n2000.predisentangle_method	semisynth_housing_lin_d5_ht0.5_linear_n2000.n_components	semisynth_housing_lin_d5_ht0.5_linear_n2000.eps_beta	semisynth_housing_lin_d5_ht0.5_linear_n2000.bootstrap	semisynth_housing_lin_d5_ht0.5_linear_n10000.method_names	semisynth_housing_lin_d5_ht0.5_linear_n10000.estimates	semisynth_housing_lin_d5_ht0.5_linear_n10000.estimates_finite	semisynth_housing_lin_d5_ht0.5_linear_n10000.biases	semisynth_housing_lin_d5_ht0.5_linear_n10000.sigmas	semisynth_housing_lin_d5_ht0.5_linear_n10000.rmse	semisynth_housing_lin_d5_ht0.5_linear_n10000.n_experiments	semisynth_housing_lin_d5_ht0.5_linear_n10000.finite_per_method	semisynth_housing_lin_d5_ht0.5_linear_n10000.n_attempted	semisynth_housing_lin_d5_ht0.5_linear_n10000.treatment_effect	semisynth_housing_lin_d5_ht0.5_linear_n10000.n_samples	semisynth_housing_lin_d5_ht0.5_linear_n10000.n_covariates	semisynth_housing_lin_d5_ht0.5_linear_n10000.support_size	semisynth_housing_lin_d5_ht0.5_linear_n10000.nuisance	semisynth_housing_lin_d5_ht0.5_linear_n10000.nonlinear_confounding	semisynth_housing_lin_d5_ht0.5_linear_n10000.heavy_tail_eta	semisynth_housing_lin_d5_ht0.5_linear_n10000.eta_beta	semisynth_housing_lin_d5_ht0.5_linear_n10000.high_dim	semisynth_housing_lin_d5_ht0.5_linear_n10000.heteroscedastic_eps	semisynth_housing_lin_d5_ht0.5_linear_n10000.sigma_eta	semisynth_housing_lin_d5_ht0.5_linear_n10000.sigma_outcome	semisynth_housing_lin_d5_ht0.5_linear_n10000.dataset	semisynth_housing_lin_d5_ht0.5_linear_n10000.predisentangle_method	semisynth_housing_lin_d5_ht0.5_linear_n10000.n_components	semisynth_housing_lin_d5_ht0.5_linear_n10000.eps_beta	semisynth_housing_lin_d5_ht0.5_linear_n10000.bootstrap	semisynth_housing_lin_d5_ht0.5_linear_n50000.method_names	semisynth_housing_lin_d5_ht0.5_linear_n50000.estimates	semisynth_housing_lin_d5_ht0.5_linear_n50000.estimates_finite	semisynth_housing_lin_d5_ht0.5_linear_n50000.biases	semisynth_housing_lin_d5_ht0.5_linear_n50000.sigmas	semisynth_housing_lin_d5_ht0.5_linear_n50000.rmse	semisynth_housing_lin_d5_ht0.5_linear_n50000.n_experiments	semisynth_housing_lin_d5_ht0.5_linear_n50000.finite_per_method	semisynth_housing_lin_d5_ht0.5_linear_n50000.n_attempted	semisynth_housing_lin_d5_ht0.5_linear_n50000.treatment_effect	semisynth_housing_lin_d5_ht0.5_linear_n50000.n_samples	semisynth_housing_lin_d5_ht0.5_linear_n50000.n_covariates	semisynth_housing_lin_d5_ht0.5_linear_n50000.support_size	semisynth_housing_lin_d5_ht0.5_linear_n50000.nuisance	semisynth_housing_lin_d5_ht0.5_linear_n50000.nonlinear_confounding	semisynth_housing_lin_d5_ht0.5_linear_n50000.heavy_tail_eta	semisynth_housing_lin_d5_ht0.5_linear_n50000.eta_beta	semisynth_housing_lin_d5_ht0.5_linear_n50000.high_dim	semisynth_housing_lin_d5_ht0.5_linear_n50000.heteroscedastic_eps	semisynth_housing_lin_d5_ht0.5_linear_n50000.sigma_eta	semisynth_housing_lin_d5_ht0.5_linear_n50000.sigma_outcome	semisynth_housing_lin_d5_ht0.5_linear_n50000.dataset	semisynth_housing_lin_d5_ht0.5_linear_n50000.predisentangle_method	semisynth_housing_lin_d5_ht0.5_linear_n50000.n_components	semisynth_housing_lin_d5_ht0.5_linear_n50000.eps_beta	semisynth_housing_lin_d5_ht0.5_linear_n50000.bootstrap
job_0000	True	shape=(7,)	shape=(25, 7)	shape=(25, 7)	shape=(7,)	shape=(7,)	shape=(7,)	25.0	shape=(7,)	25.0	1.0	2000.0	5.0	5.0	linear	0.0	1.0	0.5	0.0	0.0	1.0	1.0	housing	pca	5.0	2.0	1.0																																																				
job_0001	True																											shape=(7,)	shape=(25, 7)	shape=(25, 7)	shape=(7,)	shape=(7,)	shape=(7,)	25.0	shape=(7,)	25.0	1.0	10000.0	5.0	5.0	linear	0.0	1.0	0.5	0.0	0.0	1.0	1.0	housing	pca	5.0	2.0	1.0																										
job_0002	True																																																					shape=(7,)	shape=(25, 7)	shape=(25, 7)	shape=(7,)	shape=(7,)	shape=(7,)	25.0	shape=(7,)	25.0	1.0	50000.0	5.0	5.0	linear	0.0	1.0	0.5	0.0	0.0	1.0	1.0	housing	pca	5.0	2.0	1.0
job_0003	True	shape=(7,)	shape=(25, 7)	shape=(25, 7)	shape=(7,)	shape=(7,)	shape=(7,)	25.0	shape=(7,)	25.0	1.0	2000.0	5.0	5.0	linear	0.0	1.0	0.5	0.0	0.0	1.0	1.0	housing	pca	5.0	0.5	1.0																																																				
job_0004	True																											shape=(7,)	shape=(25, 7)	shape=(25, 7)	shape=(7,)	shape=(7,)	shape=(7,)	25.0	shape=(7,)	25.0	1.0	10000.0	5.0	5.0	linear	0.0	1.0	0.5	0.0	0.0	1.0	1.0	housing	pca	5.0	0.5	1.0																										
job_0005	True																																																					shape=(7,)	shape=(25, 7)	shape=(25, 7)	shape=(7,)	shape=(7,)	shape=(7,)	25.0	shape=(7,)	25.0	1.0	50000.0	5.0	5.0	linear	0.0	1.0	0.5	0.0	0.0	1.0	1.0	housing	pca	5.0	0.5	1.0
