job	done	semisynth_news20_lin_d10_ht0.5_linear_n2000.method_names	semisynth_news20_lin_d10_ht0.5_linear_n2000.estimates	semisynth_news20_lin_d10_ht0.5_linear_n2000.estimates_finite	semisynth_news20_lin_d10_ht0.5_linear_n2000.biases	semisynth_news20_lin_d10_ht0.5_linear_n2000.sigmas	semisynth_news20_lin_d10_ht0.5_linear_n2000.rmse	semisynth_news20_lin_d10_ht0.5_linear_n2000.n_experiments	semisynth_news20_lin_d10_ht0.5_linear_n2000.finite_per_method	semisynth_news20_lin_d10_ht0.5_linear_n2000.n_attempted	semisynth_news20_lin_d10_ht0.5_linear_n2000.treatment_effect	semisynth_news20_lin_d10_ht0.5_linear_n2000.n_samples	semisynth_news20_lin_d10_ht0.5_linear_n2000.n_covariates	semisynth_news20_lin_d10_ht0.5_linear_n2000.support_size	semisynth_news20_lin_d10_ht0.5_linear_n2000.nuisance	semisynth_news20_lin_d10_ht0.5_linear_n2000.nonlinear_confounding	semisynth_news20_lin_d10_ht0.5_linear_n2000.heavy_tail_eta	semisynth_news20_lin_d10_ht0.5_linear_n2000.eta_beta	semisynth_news20_lin_d10_ht0.5_linear_n2000.high_dim	semisynth_news20_lin_d10_ht0.5_linear_n2000.heteroscedastic_eps	semisynth_news20_lin_d10_ht0.5_linear_n2000.sigma_eta	semisynth_news20_lin_d10_ht0.5_linear_n2000.sigma_outcome	semisynth_news20_lin_d10_ht0.5_linear_n2000.dataset	semisynth_news20_lin_d10_ht0.5_linear_n2000.predisentangle_method	semisynth_news20_lin_d10_ht0.5_linear_n2000.n_components	semisynth_news20_lin_d10_ht0.5_linear_n2000.eps_beta	semisynth_news20_lin_d10_ht0.5_linear_n2000.bootstrap	semisynth_news20_lin_d10_ht1.0_linear_n2000.method_names	semisynth_news20_lin_d10_ht1.0_linear_n2000.estimates	semisynth_news20_lin_d10_ht1.0_linear_n2000.estimates_finite	semisynth_news20_lin_d10_ht1.0_linear_n2000.biases	semisynth_news20_lin_d10_ht1.0_linear_n2000.sigmas	semisynth_news20_lin_d10_ht1.0_linear_n2000.rmse	semisynth_news20_lin_d10_ht1.0_linear_n2000.n_experiments	semisynth_news20_lin_d10_ht1.0_linear_n2000.finite_per_method	semisynth_news20_lin_d10_ht1.0_linear_n2000.n_attempted	semisynth_news20_lin_d10_ht1.0_linear_n2000.treatment_effect	semisynth_news20_lin_d10_ht1.0_linear_n2000.n_samples	semisynth_news20_lin_d10_ht1.0_linear_n2000.n_covariates	semisynth_news20_lin_d10_ht1.0_linear_n2000.support_size	semisynth_news20_lin_d10_ht1.0_linear_n2000.nuisance	semisynth_news20_lin_d10_ht1.0_linear_n2000.nonlinear_confounding	semisynth_news20_lin_d10_ht1.0_linear_n2000.heavy_tail_eta	semisynth_news20_lin_d10_ht1.0_linear_n2000.eta_beta	semisynth_news20_lin_d10_ht1.0_linear_n2000.high_dim	semisynth_news20_lin_d10_ht1.0_linear_n2000.heteroscedastic_eps	semisynth_news20_lin_d10_ht1.0_linear_n2000.sigma_eta	semisynth_news20_lin_d10_ht1.0_linear_n2000.sigma_outcome	semisynth_news20_lin_d10_ht1.0_linear_n2000.dataset	semisynth_news20_lin_d10_ht1.0_linear_n2000.predisentangle_method	semisynth_news20_lin_d10_ht1.0_linear_n2000.n_components	semisynth_news20_lin_d10_ht1.0_linear_n2000.eps_beta	semisynth_news20_lin_d10_ht1.0_linear_n2000.bootstrap	semisynth_news20_lin_d10_ht2.0_linear_n2000.method_names	semisynth_news20_lin_d10_ht2.0_linear_n2000.estimates	semisynth_news20_lin_d10_ht2.0_linear_n2000.estimates_finite	semisynth_news20_lin_d10_ht2.0_linear_n2000.biases	semisynth_news20_lin_d10_ht2.0_linear_n2000.sigmas	semisynth_news20_lin_d10_ht2.0_linear_n2000.rmse	semisynth_news20_lin_d10_ht2.0_linear_n2000.n_experiments	semisynth_news20_lin_d10_ht2.0_linear_n2000.finite_per_method	semisynth_news20_lin_d10_ht2.0_linear_n2000.n_attempted	semisynth_news20_lin_d10_ht2.0_linear_n2000.treatment_effect	semisynth_news20_lin_d10_ht2.0_linear_n2000.n_samples	semisynth_news20_lin_d10_ht2.0_linear_n2000.n_covariates	semisynth_news20_lin_d10_ht2.0_linear_n2000.support_size	semisynth_news20_lin_d10_ht2.0_linear_n2000.nuisance	semisynth_news20_lin_d10_ht2.0_linear_n2000.nonlinear_confounding	semisynth_news20_lin_d10_ht2.0_linear_n2000.heavy_tail_eta	semisynth_news20_lin_d10_ht2.0_linear_n2000.eta_beta	semisynth_news20_lin_d10_ht2.0_linear_n2000.high_dim	semisynth_news20_lin_d10_ht2.0_linear_n2000.heteroscedastic_eps	semisynth_news20_lin_d10_ht2.0_linear_n2000.sigma_eta	semisynth_news20_lin_d10_ht2.0_linear_n2000.sigma_outcome	semisynth_news20_lin_d10_ht2.0_linear_n2000.dataset	semisynth_news20_lin_d10_ht2.0_linear_n2000.predisentangle_method	semisynth_news20_lin_d10_ht2.0_linear_n2000.n_components	semisynth_news20_lin_d10_ht2.0_linear_n2000.eps_beta	semisynth_news20_lin_d10_ht2.0_linear_n2000.bootstrap
job_0000	True	shape=(7,)	shape=(25, 7)	shape=(25, 7)	shape=(7,)	shape=(7,)	shape=(7,)	25.0	shape=(7,)	25.0	1.0	2000.0	10.0	10.0	linear	0.0	1.0	0.5	0.0	0.0	1.0	1.0	news20	svd	10.0	0.5	0.0																																																				
job_0001	True																											shape=(7,)	shape=(25, 7)	shape=(25, 7)	shape=(7,)	shape=(7,)	shape=(7,)	25.0	shape=(7,)	25.0	1.0	2000.0	10.0	10.0	linear	0.0	1.0	1.0	0.0	0.0	1.0	1.0	news20	svd	10.0	0.5	0.0																										
job_0002	True																																																					shape=(7,)	shape=(25, 7)	shape=(25, 7)	shape=(7,)	shape=(7,)	shape=(7,)	25.0	shape=(7,)	25.0	1.0	2000.0	10.0	10.0	linear	0.0	1.0	2.0	0.0	0.0	1.0	1.0	news20	svd	10.0	0.5	0.0
job_0003	True	shape=(7,)	shape=(25, 7)	shape=(25, 7)	shape=(7,)	shape=(7,)	shape=(7,)	25.0	shape=(7,)	25.0	1.0	2000.0	10.0	10.0	linear	0.0	1.0	0.5	0.0	0.0	1.0	1.0	news20	svd	10.0	1.0	0.0																																																				
job_0004	True																											shape=(7,)	shape=(25, 7)	shape=(25, 7)	shape=(7,)	shape=(7,)	shape=(7,)	25.0	shape=(7,)	25.0	1.0	2000.0	10.0	10.0	linear	0.0	1.0	1.0	0.0	0.0	1.0	1.0	news20	svd	10.0	1.0	0.0																										
job_0005	True																																																					shape=(7,)	shape=(25, 7)	shape=(25, 7)	shape=(7,)	shape=(7,)	shape=(7,)	25.0	shape=(7,)	25.0	1.0	2000.0	10.0	10.0	linear	0.0	1.0	2.0	0.0	0.0	1.0	1.0	news20	svd	10.0	1.0	0.0
job_0006	True	shape=(7,)	shape=(25, 7)	shape=(25, 7)	shape=(7,)	shape=(7,)	shape=(7,)	25.0	shape=(7,)	25.0	1.0	2000.0	10.0	10.0	linear	0.0	1.0	0.5	0.0	0.0	1.0	1.0	news20	svd	10.0	2.0	0.0																																																				
job_0007	True																											shape=(7,)	shape=(25, 7)	shape=(25, 7)	shape=(7,)	shape=(7,)	shape=(7,)	25.0	shape=(7,)	25.0	1.0	2000.0	10.0	10.0	linear	0.0	1.0	1.0	0.0	0.0	1.0	1.0	news20	svd	10.0	2.0	0.0																										
job_0008	True																																																					shape=(7,)	shape=(25, 7)	shape=(25, 7)	shape=(7,)	shape=(7,)	shape=(7,)	25.0	shape=(7,)	25.0	1.0	2000.0	10.0	10.0	linear	0.0	1.0	2.0	0.0	0.0	1.0	1.0	news20	svd	10.0	2.0	0.0
