job	dataset	n_samples	n_covariates	support_size	nuisance	nonlinear	heavy_tail_eta	eta_beta	eps_beta	bootstrap	hetero_eps	treatment_effect	n_exp_kept	n_attempted	Ortho ML.rmse	Ortho ML.bias	Ortho ML.std	Ortho ML.finite	Robust Ortho ML.rmse	Robust Ortho ML.bias	Robust Ortho ML.std	Robust Ortho ML.finite	Robust Ortho Est.rmse	Robust Ortho Est.bias	Robust Ortho Est.std	Robust Ortho Est.finite	Robust Ortho Split.rmse	Robust Ortho Split.bias	Robust Ortho Split.std	Robust Ortho Split.finite	ICA.rmse	ICA.bias	ICA.std	ICA.finite	OLS.rmse	OLS.bias	OLS.std	OLS.finite	Matching.rmse	Matching.bias	Matching.std	Matching.finite
job_0000	news20	2000	10	10	linear	False	True	0.5	0.5	False	False	1	25	25	0.0234593	-0.000586153	0.023452	25	0.0502525	0.00197214	0.0502138	25	0.0505881	0.0018031	0.050556	25	0.0500326	0.00194901	0.0499946	25	0.0139107	-0.0014237	0.0138376	25	0.0207317	-0.000353694	0.0207287	25	0.0329487	0.00275381	0.0328334	25
job_0001	news20	2000	10	10	linear	False	True	1	0.5	False	False	1	25	25	0.026122	0.00359572	0.0258733	25	0.0409516	-0.0015548	0.0409221	25	0.040667	-0.00113107	0.0406513	25	0.0416526	-0.00246364	0.0415797	25	0.0146287	0.00117546	0.0145814	25	0.0282287	0.00365777	0.0279907	25	0.0347317	0.0105215	0.0330997	25
job_0002	news20	2000	10	10	linear	False	True	2	0.5	False	False	1	25	25	0.0193842	-0.00424163	0.0189145	25	0.929975	-0.239075	0.89872	25	2.11122	-0.292525	2.09085	25	0.996791	-0.196432	0.977244	25	0.0144485	-0.0011389	0.0144035	25	0.0185537	-0.00303269	0.0183042	25	0.0288883	0.003267	0.0287029	25
job_0003	news20	2000	10	10	linear	False	True	0.5	1	False	False	1	25	25	0.0223165	-0.000273445	0.0223148	25	0.0421312	-0.00287731	0.0420329	25	0.041747	-0.00350776	0.0415993	25	0.0426609	-0.00225466	0.0426013	25	0.0167921	0.00303162	0.0165162	25	0.0228539	0.000849179	0.0228381	25	0.0253996	0.0114067	0.0226942	25
job_0004	news20	2000	10	10	linear	False	True	1	1	False	False	1	25	25	0.0161128	-0.00735963	0.0143338	25	0.0668872	-0.00637933	0.0665823	25	0.0658047	-0.00547648	0.0655764	25	0.0688198	-0.00740029	0.0684208	25	0.0236143	-0.00874768	0.0219343	25	0.0163635	-0.00691799	0.0148292	25	0.0232957	-0.00431782	0.0228921	25
job_0005	news20	2000	10	10	linear	False	True	2	1	False	False	1	25	25	0.0208192	-0.00297551	0.0206055	25	1.27584	-0.112506	1.27087	25	3.1596	-0.693771	3.08249	25	1.2017	0.163289	1.19055	25	0.0369176	-0.00298157	0.036797	25	0.0187829	-0.00172408	0.0187036	25	0.0243929	-0.000398146	0.0243897	25
job_0006	news20	2000	10	10	linear	False	True	0.5	2	False	False	1	25	25	0.0230847	0.00256088	0.0229422	25	0.0277627	0.00205202	0.0276868	25	0.0277677	0.00228616	0.0276734	25	0.0280886	0.0018179	0.0280298	25	0.0314925	-0.00451351	0.0311674	25	0.0213041	0.00260703	0.021144	25	0.0294092	0.00709765	0.0285398	25
job_0007	news20	2000	10	10	linear	False	True	1	2	False	False	1	25	25	0.0199464	0.000343785	0.0199435	25	0.0510757	0.00832634	0.0503924	25	0.0503594	0.0074508	0.0498051	25	0.0520684	0.00976498	0.0511445	25	0.0399959	0.0118212	0.038209	25	0.0206502	0.00200752	0.0205524	25	0.0220076	0.000440082	0.0220032	25
job_0008	news20	2000	10	10	linear	False	True	2	2	False	False	1	25	25	0.01786	-0.00103314	0.0178301	25	1.45912	-0.145767	1.45182	25	2.8446	-0.727023	2.75012	25	1.29755	0.165953	1.2869	25	0.522362	-0.0270492	0.521661	25	0.0193923	0.000161744	0.0193916	25	0.0215016	-0.00199893	0.0214085	25
