job	dataset	n_samples	n_covariates	support_size	nuisance	nonlinear	heavy_tail_eta	eta_beta	eps_beta	bootstrap	hetero_eps	treatment_effect	n_exp_kept	n_attempted	Ortho ML.rmse	Ortho ML.bias	Ortho ML.std	Ortho ML.finite	Robust Ortho ML.rmse	Robust Ortho ML.bias	Robust Ortho ML.std	Robust Ortho ML.finite	Robust Ortho Est.rmse	Robust Ortho Est.bias	Robust Ortho Est.std	Robust Ortho Est.finite	Robust Ortho Split.rmse	Robust Ortho Split.bias	Robust Ortho Split.std	Robust Ortho Split.finite	ICA.rmse	ICA.bias	ICA.std	ICA.finite	OLS.rmse	OLS.bias	OLS.std	OLS.finite	Matching.rmse	Matching.bias	Matching.std	Matching.finite
job_0000	synthetic	10000	5	5	linear	False	True	0.5	0.5	False	False	1	20	20	0.0109211	-0.000979322	0.0108771	20	0.0231809	0.00993991	0.0209417	20	0.0232302	0.0100066	0.0209645	20	0.0231878	0.00993361	0.0209522	20	0.00621207	0.000991987	0.00613235	20	0.0108888	-0.000538604	0.0108754	20	0.0133795	0.00147059	0.0132984	20
job_0001	synthetic	10000	5	5	linear	False	True	0.5	0.5	False	False	1	20	20	0.0995535	0.0989642	0.0108165	20	0.111855	0.109894	0.0208484	20	0.111924	0.109961	0.0208715	20	0.111851	0.109889	0.0208587	20	0.101146	0.100964	0.00607407	20	0.100051	0.0994641	0.0108209	20	0.102326	0.101467	0.0132362	20
job_0002	synthetic	10000	5	5	linear	False	True	0.5	0.5	False	False	1	20	20	0.199198	0.198913	0.0106436	20	0.210751	0.209747	0.0205431	20	0.210818	0.209812	0.0205663	20	0.210747	0.209742	0.0205531	20	0.201022	0.200933	0.00599138	20	0.199757	0.199472	0.0106557	20	0.201878	0.201456	0.0130459	20
job_0003	synthetic	10000	5	5	linear	False	True	0.5	0.5	False	False	1	20	20	0.299048	0.298868	0.0103541	20	0.31014	0.309494	0.0200157	20	0.310205	0.309557	0.0200387	20	0.310136	0.309489	0.0200252	20	0.30098	0.300924	0.00582279	20	0.299666	0.299486	0.0103745	20	0.301707	0.301439	0.0127218	20
job_0004	synthetic	10000	5	5	linear	False	True	0.5	0.5	False	False	1	20	20	0.398955	0.398831	0.00994007	20	0.409578	0.409126	0.0192478	20	0.409639	0.409186	0.0192703	20	0.409575	0.409122	0.0192569	20	0.400931	0.400892	0.0056295	20	0.399631	0.399506	0.0099675	20	0.401601	0.401415	0.0122526	20
job_0005	synthetic	10000	5	5	linear	False	True	0.5	0.5	False	False	1	20	20	0.498891	0.498802	0.00938731	20	0.508953	0.508627	0.0182084	20	0.50901	0.508684	0.0182302	20	0.50895	0.508624	0.018217	20	0.500868	0.50084	0.00529045	20	0.499622	0.499534	0.0094184	20	0.501517	0.501382	0.0116202	20
job_0006	synthetic	10000	5	5	linear	False	True	0.5	0.5	False	False	1	20	20	0.648829	0.648777	0.00822888	20	0.657772	0.657576	0.0160171	20	0.657821	0.657625	0.016037	20	0.65777	0.657575	0.0160245	20	0.650761	0.650745	0.00465034	20	0.649643	0.649591	0.00826461	20	0.651395	0.651314	0.0102945	20
job_0007	synthetic	10000	5	5	linear	False	True	0.5	0.5	False	False	1	20	20	0.798808	0.798782	0.00648565	20	0.806089	0.805989	0.0127064	20	0.806126	0.806026	0.0127233	20	0.80609	0.80599	0.0127124	20	0.800586	0.800578	0.00367418	20	0.799703	0.799677	0.00652526	20	0.801255	0.801212	0.00830921	20
